序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
473,2025,郵件處理及投遞人員,K652000000,-,-,-
474,2025,其他事務支援人員,K652000000,-,-,-
475,2025,服務及銷售工作人員,K652000000,82,60592,79.5
476,2025,按摩師,K652000000,---,---,---
477,2025,電話及網路行銷人員,K652000000,73,62917,83.5
478,2025,建築物管理員、保全及警衛人員,K652000000,---,---,---
479,2025,其他服務及銷售工作人員,K652000000,-,-,-
480,2025,技藝、機械設備操作及組裝人員,K652000000,---,---,---
481,2025,電力、電子、資通訊設備裝修人員(含水電工),K652000000,-,-,-
482,2025,機車送件駕駛人員,K652000000,-,-,-
483,2025,小客、貨車駕駛人員,K652000000,---,---,---
484,2025,基層技術工及勞力工,K652000000,-,-,-
485,2025,清潔及家事工作人員(含建築清潔工、房務人員),K652000000,-,-,-
486,2025,勞力工(含理貨員、行李搬運工),K652000000,-,-,-
487,2025,抄表員及自動販賣機收款員,K652000000,-,-,-
488,2025,主管及監督人員,K655900000,184,139705,245.6
489,2025,高階主管(總經理及總執行長),K655900000,---,---,---
490,2025,中階主管(經理),K655900000,---,---,---
491,2025,監督人員(含現場及辦公室主任、科/股長),K655900000,124,120809,207.4
492,2025,專業人員,K655900000,190,111579,216.8
493,2025,精算師(取得正式資格者),K655900000,---,---,---
494,2025,統計及精算專業人員,K655900000,-,-,-
495,2025,會(審)計師,K655900000,-,-,-
496,2025,風險控管人員,K655900000,---,---,---
497,2025,財務及投資規劃分析人員,K655900000,---,---,---
498,2025,稽核人員,K655900000,---,---,---
499,2025,人力資源管理師,K655900000,---,---,---
500,2025,廣告及行銷專業人員(含企劃),K655900000,-,-,-
501,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),K655900000,---,---,---
502,2025,律師,K655900000,---,---,---
503,2025,技術員及助理專業人員,K655900000,402,69126,124.3
504,2025,會計人員,K655900000,---,---,---
505,2025,統計及精算助理專業人員,K655900000,142,73293,120.1
506,2025,財物及損失鑑價人員,K655900000,-,-,-
507,2025,保險代理人 (含保險業務員),K655900000,---,---,---
508,2025,工商業銷售代表(含業務員),K655900000,-,-,-
509,2025,會議及活動規劃人員,K655900000,-,-,-
510,2025,專業秘書,K655900000,---,---,---
511,2025,法務人員,K655900000,---,---,---
512,2025,資訊管理及維護技術員,K655900000,---,---,---
513,2025,其他技術員及助理專業人員,K655900000,-,-,-
514,2025,事務支援人員,K655900000,232,61047,109
515,2025,總務,K655900000,---,---,---
516,2025,辦公室綜合事務人員(含資料登錄、一般事務秘書),K655900000,---,---,---
517,2025,接待員及服務台事務人員(含總機),K655900000,-,-,-
518,2025,會計助理、簿記、出納,K655900000,---,---,---
519,2025,核保人員,K655900000,-,-,-
520,2025,統計、財務、證券及保險事務人員,K655900000,---,---,---
521,2025,人事事務人員,K655900000,---,---,---
522,2025,服務及銷售工作人員,K655900000,---,---,---
523,2025,按摩師,K655900000,-,-,-
524,2025,建築物管理員、保全及警衛人員,K655900000,---,---,---
525,2025,技藝、機械設備操作及組裝人員,K655900000,---,---,---
526,2025,電力、電子、資通訊設備裝修人員(含水電工),K655900000,---,---,---
527,2025,小客、貨車駕駛人員,K655900000,---,---,---
528,2025,主管及監督人員,K660000000,6218,119694,284.7
529,2025,高階主管(總經理及總執行長),K660000000,510,220114,739.9
530,2025,中階主管(經理),K660000000,2609,135261,306.9
531,2025,監督人員(含現場及辦公室主任、科/股長),K660000000,3099,90063,186.8
532,2025,專業人員,K660000000,10496,70397,136.7
533,2025,統計及精算專業人員,K660000000,-,-,-
534,2025,電機、電子工程師,K660000000,-,-,-
535,2025,室內設計師,K660000000,-,-,-
536,2025,平面及多媒體設計師,K660000000,---,---,---
537,2025,醫師,K660000000,-,-,-
538,2025,護理人員,K660000000,---,---,---
539,2025,勞安及衛生管理人員(含工業安全管理師),K660000000,---,---,---
540,2025,會(審)計師,K660000000,---,---,---
541,2025,風險控管人員,K660000000,362,66736,118.6
542,2025,財務及投資規劃分析人員,K660000000,1941,89978,197.4
543,2025,專案管理師(含經營管理顧問),K660000000,127,63953,136.2
544,2025,稽核人員,K660000000,1907,54823,109.1
545,2025,人力資源管理師,K660000000,180,56559,115.6
546,2025,廣告及行銷專業人員(含企劃),K660000000,1205,66262,121.8
